// Item Trade Restrictions Database
// Defines special trade rules for individual items.
//
// Structure of Database:
// Item ID, TradeMask,Group Level Override
//
// Legend for 'TradeMask' field (bitmask):
// 1   - item can't be dropped
// 2   - item can't be traded (nor vended)
// 4   - wedded partner can override restriction 2
// 8   - item can't be sold to npcs
// 16  - item can't be placed in the cart
// 32  - item can't be placed in the storage
// 64  - item can't be placed in the guild storage
// 128 - item can't be attached to mail
// 256 - item can't be auctioned
//
// Example:
// 1161,67,50
//	Balmung cannot be dropped, traded, or placed in Guild Storage (1+2+64).
//	Only groups of group-level 50 and up can override this setting.

6657,499,100// 잭의 기억
6671,467,100// 게펜 마법 대회 주화
6672,467,100// 흙빛의 조각
6673,507,100// 보스니아 입장권
6674,507,100// 색이 고운 집게발
6681,467,100// 크리스마스 쿠키
6682,499,100// 판매용 상품 자루
6684,467,100// 용사의 증표
6685,499,100// 모로크 공훈증
6686,507,100// 벽돌
6687,507,100// 밧줄
6688,507,100// 목재
6689,467,100// 불타는 벌레 껍질
6690,467,100// 맛있는 줄기
6698,499,100// 나무용 도끼
6699,499,100// 신의 침묵
6700,499,100// 백사의 비늘
6701,499,100// 난쟁이의 보물
6702,499,100// 난쟁이의 땀
6703,499,100// 전사의 눈물
6704,499,100// 전사의 분노
6705,499,100// 전사의 증표
6706,499,100// 수호자의 꽃
6708,499,100// 마력 결정
6709,499,100// 바삭바삭한 비단
6710,499,100// 묶은뱀
6713,499,100// 아하트의 혼
6714,499,100// 쉬나임의 혼
6715,467,100// 마신의 영혼조각
6720,507,100// 스테이터스 초기화권
6721,507,100// 낡은 스테이터스 초기화권
6722,499,100// 단단한 조개살
6723,499,100// 맛있는 통조림
6724,507,100// 세비지 상자
6725,507,100// 그랜드 페코 상자
6726,507,100// 데저트 울프 상자
6727,499,100// 소개팅 사진첩
6733,499,100// 간지러운 깃털
6746,499,100// 철제 가공물
6747,499,100// 철제 가공물
6748,507,100// 발굴단 일일보고서
6749,507,100// 가동제어장치
6752,467,100// 찰스턴 부품
6753,507,100// 멸망의 증표
6754,507,100// 채집한 약초
6766,499,100// 얼음나라 티켓
6767,499,100// 14주년 기념 코인
6768,499,100// 빙수용 팥
6769,499,100// 달콤한 떡
6784,507,100// 오징어용 꼬치
6785,507,100// 환상의 소스
6786,507,100// 통구이용 오징어
6787,507,100// 오래 타는 장작
6788,507,100// 장미 나이프
6789,507,100// 맞춤 접시
6814,475,100// 검사의 혼
6815,475,100// 상인의 혼
6816,475,100// 도둑의 혼
6817,475,100// 마법사의 혼
6818,475,100// 궁수의 혼
6819,475,100// 복사의 혼
6820,475,100// 에너지 파편
6821,467,100// 솔로부대원 증표
6824,507,100// 실험동의 메모리레코드
6825,499,100// 공기정화기 상자
6826,499,100// 신선한 포도
6827,499,100// 온전한 기계부품
6833,475,100// (한정)지크프리드의 증표
6836,499,100// 영혼의 부적
6837,499,100// 쥐의 영혼 조각
6838,499,100// 예언자 K의 밀서
6839,467,100// 금색 초코인
6840,467,100// 은색 초코인
6841,467,100// 동색 초코인
6842,499,100// 커다란 보석
6843,499,100// 풀반지
6844,499,100// 부드러운 돌
6845,499,100// 숙성된 그것
6846,475,100// (한정)헬스장 회원권
6847,499,100// 아주 작은 상자
6848,499,100// 가벼운 상자
6849,499,100// 의뢰 완료증
6850,499,100// 수상한 상자
6851,499,100// 수상한 문서
6852,499,100// 초강력 중화제
6853,499,100// 감사의 꽃다발
6854,499,100// 포획된 노버스
6855,499,100// 포획된 따따초
6856,499,100// 피고름으로 쓴 원고
6857,499,100// 매우 단단한 돌
6858,499,100// 포획된 루드
6859,499,100// 포획된 배회하는 자
6860,499,100// 소의 영혼 조각
6862,499,100// 호랑이의 영혼 조각
6863,499,100// 강한 호랑이의 영혼 조각
6864,475,100// 무기 19 제련 보장권
6865,475,100// 방어구 19 제련 보장권
6866,499,100// 토끼의 영혼 조각
6867,499,100// 커다란 벌레통
6868,499,100// 중간크기 벌레통
6869,499,100// 먼지
6870,475,100// 무기 13 제련 보장권
6871,475,100// 무기 14 제련 보장권
6872,475,100// 무기 15 제련 보장권
6873,475,100// 무기 16 제련 보장권
6874,475,100// 무기 17 제련 보장권
6875,475,100// 무기 18 제련 보장권
6876,475,100// 방어구 13 제련 보장권
6877,475,100// 방어구 14 제련 보장권
6878,475,100// 방어구 15 제련 보장권
6879,475,100// 방어구 16 제련 보장권
6880,475,100// 방어구 17 제련 보장권
6881,475,100// 방어구 18 제련 보장권
6883,475,100// 큐펫 눈토끼 교환쿠폰
6884,475,100// 큐펫 틱버렁 교환쿠폰
6885,499,100// 용의 영혼 조각
6886,499,100// 강한 용의 영혼 조각
6904,499,100// 뱀의 영혼 조각
6906,475,100// (한정)고밀도 카르늄
6907,499,100// 말의 영혼 조각
6909,475,100// 냥다래 열매
6910,475,100// (한정)고농축 오리데오콘
6911,475,100// (한정)고농축 에르늄
6912,499,100// 양의 영혼 조각
6913,507,100// 성스러운 로자리
6914,499,100// 검은 혼
6915,499,100// 사로잡힌 혼
6916,499,100// 원숭이의 영혼 조각
6917,499,100// 닭의 영혼 조각
6919,499,100// 명예의 증표
6920,499,100// 룬 마법 가루
6923,499,100// 밝은 불빛
6925,499,100// 죄수의 편지
6926,499,100// 룬-미드가츠 역사서
6927,499,100// 바다가 담긴 돌
6928,499,100// 포링 수세미
6929,499,100// 인장이 찍힌 서신
6930,499,100// 신 사업 아이템의 샘플
6931,499,100// 극비 서류
6932,499,100// 희귀한 고서
6933,499,100// 연회 초청장
6934,499,100// 굉장히 멋진 요리
6935,499,100// 고급 접시
6953,475,100// 라모르망토 전용 티켓
6954,499,100// 개의 영혼 조각
6955,499,100// 돼지의 영혼 조각
6956,499,100// 포획된 양
6957,499,100// 복실한 양털
6960,467,100// 공중요새 열쇠
//6993,475,100	//
//6994,475,100	//
7025,475,100// 마왕의 눈물
7037,475,100// PC방 출석쿠폰
7059,499,100// 카프라 창고 무료 이용권
7060,499,100// 카프라 워프 무료 이용권
7061,499,100// 카프라 카트 무료 이용권
7140,1,100// 생명의 씨앗
7170,1,100// 턱시도
7177,507,100// 별빛의 흐느낌 조각
7178,507,100// 별빛의 흐느낌
7275,507,100// 고대언어문서
7276,507,100// 그림편지
7304,507,100// 마녀의 주문서
7305,507,100// 아홉세계의 권위
7306,507,100// 영혼의 조각
7307,507,100// 영혼의 속삭임
7308,507,100// 마녀의 물약
7309,507,100// 까마귀의 날개
7314,507,100// 더 사인
7332,507,100// 석판
7333,507,100// 석판의 조각
7334,507,100// 석판의 조각
7335,507,100// 석판의 조각
7336,507,100// 석판의 조각
7339,507,100// 기념 교통카드
7341,507,100// 낡은 펜던트
7342,507,100// 얇은 서류철
7343,507,100// 봉인된 서류철
7344,507,100// 시노카스 사건 파일
7346,507,100// 이미르의 심장 더미
7349,507,100// 문서보관소 출입카드
7351,507,100// 친구의 일기장
7368,499,100// 8번 공
7416,475,100// 추천장
7417,475,100// 의뢰서A
7418,475,100// 의뢰서B
7420,499,100// 해골 바가지
7421,499,100// 빨간 열쇠
7422,499,100// 노란 열쇠
7423,499,100// 파란 열쇠
7424,499,100// 초록 열쇠
7425,499,100// 검정 열쇠
7426,499,100// 빨강 마력석
7427,499,100// 노란 마력석
7428,499,100// 파란 마력석
7429,499,100// 초록 마력석
7430,499,100// 검정 마력석
7431,499,100// 여러권의 책
7432,507,100// 가죽 주머니
7484,507,100// 용사의 상징
7485,507,100// 운장의 서
7486,507,100// 풍장의 서
7487,507,100// 주점의 술
7488,507,100// 배달용 상자
7489,507,100// 별장의 보조열쇠
7490,507,100// 편지 엘리에게
7491,507,100// 철상자
7492,507,100// 노란 키카드
7493,507,100// 황금색 열쇠
7494,507,100// 고급단추
7495,507,100// 파란 키카드
7496,507,100// 빨간 키카드
7497,507,100// 금속파편
7498,507,100// 로시미에르가의 열쇠
7499,507,100// 어느 가족의 초상화
7500,507,100// 여인의 초상화
7501,507,100// K.H의 편지
7502,507,100// 제임스의 메모조각
7503,507,100// 어떤 남자의 초상화
7504,507,100// 동력장치
7505,507,100// 장난감 열쇠
7506,499,100// 까만 키카드
7508,507,100// 엘리시아의 반지
7509,475,100// 화려한 키카드
7515,499,100// 신기한 메달
7516,499,100// 초록 키카드
7518,499,100// 여성의 훈장
7527,506,100// 진실된 삶의 책
7530,507,100// 아마쯔 여행가이드
7531,507,100// 쿤룬 여행가이드
7532,507,100// 용지성 여행가이드
7533,507,100// 아요타야 여행가이드
7534,507,100// 아마쯔 앨범
7535,507,100// 쿤룬 앨범
7536,507,100// 용지성 앨범
7537,507,100// 아요타야 앨범
7538,499,100// 작업용 모래
7539,499,100// 포링코인
7547,499,100// 축구공
7548,499,100// 축구화
7549,499,100// 브라질국기
7550,499,100// 6월13일 관람표
7551,499,100// 6월18일 관람표
7552,499,100// 6월22일 관람표
7553,499,100// 연꽃
7554,499,100// 줄무늬초
7555,499,100// 초록색향
7556,475,100// 그리운마음
7557,475,100// 초대편지
7558,475,100// 초대티켓
7559,475,100// 비밀의 화원 열쇠
7569,475,100// 바람의 해머
7572,475,100// 잿빛 목걸이
7573,475,100// 빛나는 목걸이
7575,507,100// 붉은색 보석
7575,499,100// 붉은색 보석
7576,499,100// 파란색 보석
7576,507,100// 파란색 보석
7577,499,100// 노란색 보석
7579,499,100// 직녀의 비단손수건
7580,499,100// Black Marble
7583,499,100// 사악한 마음
7584,499,100// 경비자의 증명 첫번째
7585,499,100// 경비자의 증명 두번째
7586,499,100// 경비자의 증명 세번째
7587,499,100// 경비자의 증명 네번째
7588,499,100// IPOD티켓
7603,499,100// RO파티초대권
7614,499,100// 특별한 포장지
7618,499,100// 몬스터 크리스탈
7619,475,100// 농축 에르늄
7620,475,100// 농축 오리데오콘
7621,475,100// 지크프리드의 증표
7622,475,100// 미용상품권
7623,507,100// 이름변경 쿠폰
7625,507,100// 운영자의 특별한 보상
7630,499,100// 청정해변 빗자루
7631,499,100// 쓰레기 잔여물
7641,507,100// 치료상자
7690,475,100// 특별한 교환쿠폰
7701,499,100// 신룡의 혼백
7704,507,100// 고장난 온도 측정기
7705,507,100// 지질학자의 메모
7715,499,100// 수제초콜렛 레시피
7716,499,100// 딸기초콜렛 레시피
7717,499,100// 초콜렛타르트 레시피
7720,467,100// 골드 코인
7722,507,100// 차용증
7723,507,100// 파멸의 다이아몬드
7724,507,100// 금단의 신비술서
7725,507,100// 불운의 에메랄드
7726,507,100// 왕의 증명
7727,499,100// HP DOCTOR TICKET
7728,499,100// SP DOCTOR TICKET
7729,499,100// Rok 스타 뱃지
7730,8,100// 임무완수의 증표 1
7731,8,100// 임무완수의 증표 2
7732,8,100// 임무완수의 증표 3
7733,8,100// 임무완수의 증표 4
7734,8,100// 임무완수의 증표 5
7735,8,100// 임무완수의 증표 6
7736,8,100// 임무완수의 증표 7
7737,8,100// 임무완수의 증표 8
7738,8,100// 임무완수의 증표 9
7739,8,100// 임무완수의 증표 10
7740,8,100// 임무완수의 증표 11
7741,8,100// 임무완수의 증표 12
7755,507,100// 연구일지
7759,507,100// 지질학자의 보고서
7763,507,100// 찰싹찰싹 풀
7764,507,100// 강력 접착제
7765,507,100// 바바야가의 비약
7766,475,100// 배추잎
7767,475,100// 맛있는 조각케이크
7773,499,100// 전투휘장
7775,475,100// 큐펫 옥토끼 교환쿠폰
7776,475,100// 헬스장 회원권
7779,475,100// 황금 열쇠
7780,475,100// 은 열쇠
7784,475,100// 무료쿠폰1
7785,475,100// 무료쿠폰2
7786,475,100// 무료쿠폰3
7787,475,100// 무료쿠폰4
7788,475,100// 무료쿠폰5
7789,475,100// 무료쿠폰6
7790,475,100// 무료쿠폰7
7791,475,100// 무료쿠폰8
7793,475,100// 황금사과
7794,475,100// 운명의 까마귀
7800,475,100// 마력의 황금사과
7801,499,100// 소녀의 팬레터
7802,499,100// 싸인첩
7803,475,100// 초보자 전투교범
7820,507,100// 모로크의 피부조각
7821,475,100// 초록색 사과
7822,475,100// 통 바베큐
7823,475,100// 고기야채꼬치
7825,475,100// 영웅의 돌
7826,507,100// 컨티넨탈 가드 인증서
7827,499,100// 광물 감정서
7828,499,100// 용맹휘장
7829,499,100// 특공휘장
7839,499,100// 크리스탈 키
7840,507,100// 발키리의 선물
7841,499,100// 얼룩진 종이조각
7842,499,100// 찢어진 종이조각
7843,499,100// 낡은 종이조각
7844,499,100// 그을린 종이조각
7863,467,100// Special Gold
7865,499,100// 금주머니
7866,499,100// 인증서
7875,467,100// 해적의 상자
7876,499,100// 황금색의 열쇠
7877,499,100// 빨간 반지
7878,499,100// 루살까의 머리카락
7879,499,100// 금실
7880,499,100// 바바야가의 은 숟가락
7881,499,100// 마법 책
7882,499,100// 뾰족한 가지
7883,499,100// 뽀족한 나무 피리
7884,475,100// 옥패
7885,475,100// 신성한 화살
7895,499,100// 라마5세 기념책
7896,499,100// 로이크라통 기념책
7897,499,100// 제헌절 기념책
7898,499,100// 무지무지 센 발뭉
7899,499,100// 심령술사의 단도
7900,507,100// 제노스가의 반지
7901,507,100// 제노스가의 반지
7902,507,100// 제노스가의 반지
7903,507,100// 제노스가의 반지
7904,507,100// 피아노의 열쇠
7906,507,100// 화환
7907,499,100// 여신의 실타래
7909,499,100// 도난 당한 과자
7910,499,100// 도난 당한 사탕
7912,507,100// 휴대용 눈사람 기계
7913,507,100// 전투 테스트 증서
7914,507,100// 고대언어의 문서
7917,507,100// 매직포션
7919,507,100// 페스티벌 티켓
7920,507,100// 영웅들의 무기함
7923,499,100// KRATHONG
7928,507,100// 브라질 국기
7929,507,100// 금동전
7930,507,100// 우마왕의 코뚜레
7945,475,100// 만능부적
7949,499,100// 솜털로 방직된 천
7950,499,100// 아요타야 페스티벌 티켓
7951,499,100// 황금 튤립 꽃
7952,507,100// 로미로스의 선물
7953,507,100// 줄리엣지의 선물
7954,499,100// 페스티벌 티켓
7959,1,100// 고대의 금화
7960,1,100// 고대의 은화
7961,499,100// 무기 교환 티켓
7962,499,100// 보물지도1
7963,499,100// 보물지도2
7964,499,100// 보물지도3
7965,499,100// 보물지도4
7966,499,100// 이상한 양피지 첫 번째 조각
7967,499,100// 이상한 양피지 두 번째 조각
7968,499,100// 이상한 양피지 세 번째 조각
7969,499,100// 이상한 양피지 네 번째 조각
9028,1,100// 딱딱한 떡
9058,467,100// 눈토끼 알
11011,499,100// 바르문트의 수첩
11012,499,100// 미드가르드 원정대의 보고서
11013,499,100// 원정대 보고서 1권
11014,499,100// 원정대 보고서 2권
11015,499,100// 원정대 보고서 3권
11016,499,100// 원정대 보고서 4권
11500,475,100// 가벼운 노란포션
11501,475,100// 가벼운 하얀포션
11502,475,100// 가벼운 파란포션
11503,475,100// 공성용 화이트 포션
11504,475,100// 공성용 파란 포션
11514,475,100// 농축 슬림 포션
11551,499,100// 향긋한 허브무침
11552,499,100// 사근 샐러드
11553,499,100// 아무거나 전골
11554,499,100// 황금색 사과구이
11565,475,100// [비매품] 하얀포션
11566,475,100// [비매품] 노란포션
11567,475,100// [비매품] 초보자용 포션
11568,475,100// [비매품] 레드 슬림 포션
11569,475,100// [비매품] 주홍포션
11570,475,100// [비매품] 빨간포션
11571,475,100// [비매품] 초록포션
11572,475,100// [비매품] 파란포션
11573,475,100// [비매품] 화이트 슬림 포션
11574,475,100// [비매품] 옐로우 슬림 포션
11575,475,100// [비매품] 행운의 쿠키
11576,475,100// [비매품] 행운의 막대사탕
11577,475,100// [비매품] 주먹밥
11578,475,100// [비매품] 막대사탕
11579,475,100// [비매품] 행운의 사탕
11580,475,100// [비매품] 사탕
11581,475,100// [비매품] 조각 케이크
11582,475,100// [비매품] 잘 구운 쿠키
11583,475,100// [비매품] 초콜렛 드링크
11584,475,100// [비매품] 화이트 초콜렛
11585,475,100// [비매품] 핸드메이드 초콜렛
11586,475,100// [비매품] 핸드메이드 초콜렛
11587,475,100// [비매품] 초콜렛
12142,506,100// 마법의 책
12153,499,100// 활용병소환서1급
12154,499,100// 활용병소환서2급
12155,499,100// 활용병소환서3급
12156,499,100// 활용병소환서4급
12157,499,100// 활용병소환서5급
12158,499,100// 활용병소환서6급
12159,499,100// 활용병소환서7급
12160,499,100// 활용병소환서8급
12161,499,100// 활용병소환서9급
12162,499,100// 활용병소환서10급
12163,499,100// 검용병소환서1급
12164,499,100// 검용병소환서2급
12165,499,100// 검용병소환서3급
12166,499,100// 검용병소환서4급
12167,499,100// 검용병소환서5급
12168,499,100// 검용병소환서6급
12169,499,100// 검용병소환서7급
12170,499,100// 검용병소환서8급
12171,499,100// 검용병소환서9급
12172,499,100// 검용병소환서10급
12173,499,100// 창용병소환서1급
12174,499,100// 창용병소환서2급
12175,499,100// 창용병소환서3급
12176,499,100// 창용병소환서4급
12177,499,100// 창용병소환서5급
12178,499,100// 창용병소환서6급
12179,499,100// 창용병소환서7급
12180,499,100// 창용병소환서8급
12181,499,100// 창용병소환서9급
12182,499,100// 창용병소환서10급
12199,507,100// 마법의 스크롤
12202,475,100// 혓바닥요리
12203,475,100// 사막전갈 모래찜
12204,475,100// 칵테일 용의 숨결
12205,475,100// 흐베르겔미르의 술
12206,475,100// 구미호 꼬리요리
12207,475,100// 불사의 찌개
12208,475,100// 전투 교범
12209,475,100// 생명보험 증서
12210,475,100// 풍선껌
12211,475,100// 카프라 명함
12212,475,100// 거대한 파리의 날개
12213,475,100// 섬광 막대
12214,475,100// 볼록 거울
12215,475,100// 블레싱 10레벨 스크롤
12216,475,100// 민첩성증가 10레벨 스크롤
12217,475,100// 아스페르시오 5레벨 스크롤
12218,475,100// 구 아숨프티오 5레벨 스크롤
12219,475,100// 윈드워크 10레벨 스크롤
12220,475,100// 아드레날린러쉬 5레벨 스크롤
12221,475,100// 확성기
12238,467,100// 상한 떡
12239,467,100// 상한 떡
12258,499,100// 폭탄링 캡슐
12259,507,100// 환상의 영약
12261,507,100// 환상의 비약
12262,507,100// 마패
12263,507,100// [비매품]전투 교범
12264,475,100// [비매품]풍선껌
12265,475,100// [비매품]생명보험 증서
12266,507,100// 다식
12267,507,100// 유과
12268,507,100// 무지개떡
12269,467,100// 맛대령
12270,467,100// 맛소령
12271,467,100// 군용식량A
12272,467,100// 군용식량B
12273,467,100// 군용식량C
12274,507,100// 대환단
12275,507,100// 태청단
12276,475,100// 미믹 소환서
12277,475,100// 디스가이즈 소환서
12278,475,100// 엘리스 소환서
12287,507,100// 러브앤젤 마법가루
12288,507,100// 스퀴럴 마법가루
12289,507,100// 고고 마법가루
12294,507,100// PC방 코인상자 1
12295,507,100// PC방 코인상자 2
12296,507,100// PC방 코인상자 3
12297,507,100// PC방 코인상자 4
12298,507,100// SP 소모량 감소포션
12299,507,100// 상태이상 저항포션
12300,499,100// 와일드 로즈 소환서
12301,499,100// 도플갱어 소환서
12302,499,100// 이그니젬 세니아 소환서
12303,475,100// 축복의 물
12304,507,100// 그림일기 마법가루
12305,507,100// 미니하트 마법가루
12306,507,100// 새내기 마법가루
12307,507,100// 꼬꼬마 마법가루
12308,507,100// 마법의 성 마법가루
12309,507,100// 짱구 마법가루
12310,467,100// 꽃가지
12311,467,100// 커다란 꽃가지
12313,499,100// 천사의 수호
12314,507,100// 복귀 모험가 지원 상자
12314,475,100// 복귀 모험가 지원 상자
12319,467,100// 룬 미드가츠산 딸기케익
12320,467,100// 슈발츠발드산 파인애플 쥬빌레
12321,467,100// 아루나펠츠산 사막 샌드위치
12322,499,100// 초콜렛 파이
12323,499,100// [비매품]초보자용 파리의 날개
12324,499,100// 초보자용 나비의 날개
12325,499,100// 초보자용 돋보기
12331,507,100// 인삼
12332,467,100// 과일쥬스
12333,507,100// 안실라
12333,507,100// 안실라
12340,499,100// 신비한 찹쌀가루
12361,475,100// 맛있는 빙수
12363,475,100// 맞춤 관
12370,475,100// 소녀의 순정
12384,499,100// 무지갯빛 루비
12385,499,100// 무지갯빛 루비
12386,499,100// 무지갯빛 루비
12387,499,100// 무지갯빛 루비
12388,507,100// 수습용 라이도 룬 스톤
12389,507,100// 수습용 페르쓰 룬 스톤
12390,507,100// 수습용 베르카나 룬 스톤
12391,475,100// 행운의 알
12398,507,100// PC방 선물상자
12402,475,100// 29열매
12403,475,100// 행운의 알Ⅱ
12404,475,100// 활성화 포션
12405,475,100// 덜 익은 이그드라실 씨앗
12406,475,100// 사이킥 아머 스크롤
12407,475,100// PC방 쿠폰 상자
12413,475,100// PC방 쿠폰 상자Ⅱ
12415,475,100// 공성맵 텔레포트 스크롤Ⅱ
12416,475,100// 행운의 알Ⅲ
12473,467,100// RWC 참가 접수 기념상자
12474,467,100// RWC 결승전 참가 기념상자
12476,475,100// PC방 쿠폰 상자Ⅲ
12478,507,100// 기회의 상자
12479,507,100// 카라카스의 반지 상자
12480,475,100// 출석 3일 상자
12481,475,100// 출석 7일 상자
12482,475,100// 출석 10일 상자
12483,475,100// 출석 15일 상자
12484,475,100// 출석 20일 상자
12485,475,100// 출석 25일 상자
12486,475,100// 골드 PC방 1등 상자
12487,475,100// PC방 네잎클로버 상자
12488,475,100// 티켓 선물상자
12489,475,100// 티켓 선물상자Ⅱ
12492,475,100// 구겨진 종이뭉치
12493,475,100// 행운의 알Ⅳ
12497,475,100// [비매품]풍선껌
12501,475,100// [비매품]혓바닥요리
12502,475,100// [비매품]사막전갈 모래찜
12503,475,100// [비매품]칵테일 용의 숨결
12504,475,100// [비매품]흐베르겔미르의 술
12505,475,100// [비매품]구미호 꼬리요리
12506,475,100// [비매품]불사의 찌개
12507,475,100// [비매품]노랑나비의 날개
12508,475,100// [비매품]초록나비의 날개
12509,475,100// [비매품]빨간나비의 날개
12510,475,100// [비매품]파란나비의 날개
12514,475,100// [비매품]연마제
12516,475,100// [비매품]소형 생명수
12522,475,100// [비매품]블레싱 10레벨 스크롤
12523,475,100// [비매품]민첩성증가 10레벨 스크롤
12529,475,100// 화이트 슬림 포션 상자
12530,475,100// 마스테라의 열매 상자
12531,475,100// 하얀 포션 상자
12532,475,100// 로얄제리 상자
12533,475,100// 파란허브 상자
12534,475,100// 이그드라실 씨앗 상자
12535,475,100// 이그드라실 열매 상자
12540,499,100// 운영자의 워프상자
12541,499,100// 포춘쿠키
12542,499,100// 포춘쿠키
12543,499,100// 포춘쿠키
12545,475,100// 행운의 알Ⅴ
12549,475,100// 화이트 슬림 포션 상자
12550,475,100// 독약병 상자
12565,507,100// 파란 선물상자
12566,507,100// 빨간 선물상자
12567,507,100// 응원 스카프Ⅲ상자
12568,507,100// 응원 스카프Ⅳ상자
12569,507,100// 응원 스카프Ⅵ상자
12570,507,100// 응원 스카프Ⅷ상자
12571,507,100// 응원 스카프Ⅹ상자
12572,507,100// 응원 스카프Ⅹ상자
12577,475,100// 행운의 알Ⅵ
12578,475,100// 신속한 생명수
12579,507,100// 발키리의 반지 상자
12581,475,100// 만능 카탈로그 골드
12583,507,100// 홍보팀 상자
12584,507,100// 개발팀 상자
12585,507,100// 마케팅팀 상자
12586,507,100// 운영팀 상자
12587,507,100// 한 여름 밤의 상자
12588,507,100// 한 여름 밤의 상자
12589,507,100// 한 여름 밤의 상자
12591,475,100// 만능 카탈로그 브론즈
12595,475,100// 행운의 알Ⅶ
12596,475,100// 마법캔디
12600,507,100// 보물상자 소환서
12607,507,100// 맛있는 롤리팝 상자
//12610,475,100	//
12622,507,100// 탑승용 고삐
12625,475,100// 사파 공훈증 꾸러미
12633,475,100// 말랑도 고양이 캔
12636,467,100// 말랑도 특산 통조림
12637,475,100// 공벌레 주머니
12638,475,100// 마른 오징어 상자
12639,475,100// 날치 상자
12640,475,100// 별 불가사리 상자
12641,475,100// 행운의 알Ⅷ
12642,475,100// 마스테라의 열매 100개 상자
12644,475,100// PC방 쿠폰 상자Ⅳ
12645,475,100// 성스러운 스크롤
12649,507,100// 70레벨 하사품
12650,507,100// 90레벨 하사품
12651,507,100// 110레벨 하사품
12652,507,100// 130레벨 하사품
12653,507,100// 150레벨 하사품
12654,475,100// 행운의 알Ⅸ
12658,475,100// 변신 스크롤(데비루치)
12659,475,100// 변신 스크롤(레이드릭 아쳐)
12660,475,100// 변신 스크롤(마브카)
12661,475,100// 변신 스크롤(마르두크)
12662,475,100// 변신 스크롤(밴시)
12663,475,100// 변신 스크롤(포링)
12664,475,100// 변신 스크롤(고렘)
12672,499,100// 새출발 상자
12673,475,100// 행운의 알Ⅹ
12684,475,100// ASPD 강화 포션
12685,475,100// 그리폰의 알
12702,466,100// 오래된 파랑상자
12704,475,100// 불로장생약
12705,475,100// 귀족의 명패
12714,467,100// 부활절 스크롤
12715,507,100// 검은색 보물 상자
12725,475,100// 노씨즈 룬스톤
12726,475,100// 라이도 룬스톤
12727,475,100// 베르카나 룬스톤
12728,475,100// 아이샤 룬스톤
12729,475,100// 에이시르 룬스톤
12730,475,100// 우르즈 룬스톤
12731,475,100// 튜리서드 룬스톤
12732,475,100// 페르쓰 룬스톤
12733,475,100// 하갈라즈 룬스톤
12740,507,100// 힘 증폭 스크롤
12741,507,100// 지력 증폭 스크롤
12745,507,100// 발렌타인 증표상자
12766,507,100// [비매품]JOB 전투교범
12785,475,100// 드래곤의 알
12786,475,100// 슬롯 이동 카드
12790,475,100// 이름 변경 카드
12795,475,100// 2011 RWC 스크롤
12796,475,100// 레드 부스터
12799,475,100// PC방 쿠폰 상자Ⅴ
12802,507,100// 시간의 수호자 상자
12802,475,100// 시간의 수호자 상자
12803,507,100// 초보자 지원 상자
12804,475,100// 크루 스크롤
12805,475,100// 미스틱 파우더
12807,507,100// 용병 소환뭉치
12808,507,100// 온화한 어머니의 마음 상자
12809,507,100// 레벨업 상자
12810,507,100// 이벤트 선물상자
12811,475,100// GM이벤트 선물상자
12816,507,100// 낡은 광석 상자
12817,507,100// 낡은 카드첩
12818,507,100// 고급 무기상자
12819,507,100// 지르타스 교환 티켓 상자
//12825,475,100	//
//12830,475,100	//
12831,475,100// 포션 상자
//12832,475,100	//
//12833,475,100	//
12834,475,100// 언데드의 핵
12835,475,100// 소녀의 마음
12845,499,100// 아마츠 귀환의 날개
12847,507,100// 불량 장비품 상자
//12854,467,100	//
//12855,475,100	//
//12871,475,100	//
//12872,475,100	//
12873,475,100// TE 포션 상자
12883,475,100// 올마이티
12884,507,100// 무한 집중의 포션
12885,507,100// 무한 각성의 포션
12886,507,100// 무한 버서크 포션
12887,507,100// 무한 파리의 날개
12888,507,100// 공성 지원 상자
12900,475,100// 전투교범 10개 상자
12901,475,100// 보험증서 10개 상자
12902,475,100// 풍선껌 10개 박스
12903,475,100// 혓바닥요리 10개 상자
12904,475,100// 사막전갈 모래찜 10개 상자
12905,475,100// 칵테일 용의 숨결 10개 상자
12906,475,100// 흐베르겔미르의 술 10개 상자
12907,475,100// 구미호 꼬리요리 10개 상자
12908,475,100// 불사의 찌개 10개 상자
12909,475,100// 카프라 명함 10개 상자
12910,475,100// 거대한 파리의 날개 10개 상자
12911,475,100// 섬광막대 상자
12912,475,100// 볼록거울 10개 상자
12913,475,100// 블레싱 스크롤 10개 상자
12914,475,100// 민첩성증가 스크롤 10개 상자
12915,475,100// 아스페르시오 스크롤 10개 상자
12916,475,100// 구 아숨프티오 스크롤 10개 상자
12917,475,100// 윈드워크 스크롤 10개 상자
12918,475,100// 아드레날린러쉬 스크롤 10개 상자
12919,475,100// 확성기 10개 상자
12920,475,100// 농축 에르늄 10개 상자
12921,475,100// 농축 오리데오콘 10개 상자
12922,475,100// 지크프리드의 증표 10개 상자
12927,475,100// 아스페르시오 스크롤상자
12928,475,100// 성스러운 스크롤
12928,475,100// 성스러운 스크롤
12929,475,100// 펫 알 스크롤 상자
12930,475,100// 펫 알 스크롤 상자
12931,475,100// 펫 알 스크롤 상자
12932,475,100// 펫 알 스크롤
12933,475,100// 펫 알 스크롤
12934,475,100// 펫 알 스크롤
12935,475,100// 등뒤를 베는자 상자
